parent_category;subcategory;front;back;is_bidirectional
Energie;Strommarkt und Marktkommunikation;Warum kann ein negativer Börsenpreis trotzdem zu einer positiven Stromrechnung führen?;Der negative Preis gilt für den Großhandel in bestimmten Zeiträumen. Die Rechnung eines Haushalts enthält aber weitere Preisbestandteile, zum Beispiel Netzentgelte, Steuern, Abgaben, Vertrieb und Umsatzsteuer.;0
Energie;Strommarkt und Marktkommunikation;Was ist die Stromsteuer?;Die Stromsteuer ist eine staatliche Verbrauchsteuer auf elektrischen Strom. Sie ist nur ein Teil des Endpreises und nicht dasselbe wie Netzentgelt oder EEG-Förderung.;0
Energie;Strommarkt und Marktkommunikation;Was ist die Konzessionsabgabe?;Die Konzessionsabgabe ist eine Zahlung von Energieversorgern an Kommunen für das Recht, öffentliche Wege und Straßen für Leitungen zu nutzen. Sie kann als Bestandteil des Strompreises weitergegeben werden.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Warum müssen Erzeugung und Verbrauch ständig ausgeglichen werden?;Elektrische Energie lässt sich im Netz nicht in beliebiger Menge direkt speichern. Deshalb muss die erzeugte Leistung laufend an die verbrauchte Leistung angepasst werden.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist Regelenergie?;Regelenergie ist Energie, die zur kurzfristigen Anpassung von Erzeugung oder Verbrauch aktiviert wird, damit das Stromsystem im Gleichgewicht bleibt.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist Primärregelreserve?;Primärregelreserve reagiert automatisch und sehr schnell auf Frequenzabweichungen. Sie stabilisiert die Frequenz zunächst, ersetzt aber nicht dauerhaft fehlende Energie.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist Sekundärregelreserve?;Sekundärregelreserve wird automatisch aktiviert, um Frequenz und Austauschprogramme wieder in Richtung ihrer Sollwerte zu führen.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist Minutenreserve?;Minutenreserve ist eine Regelreserve, die innerhalb eines definierten Zeitraums aktiviert wird. Sie ersetzt zuvor aktivierte Reserven und unterstützt den weiteren Ausgleich.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist der Unterschied zwischen Regelkapazität und Regelarbeit?;Regelkapazität beschreibt die vorgehaltene abrufbare Leistung. Regelarbeit beschreibt die tatsächlich aktivierte Energiemenge.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist Redispatch?;Redispatch ist die gezielte Änderung geplanter Einspeisung, um Netzengpässe zu vermeiden oder zu beseitigen. Eine Anlage wird heruntergeregelt und eine andere kann an anderer Stelle hochgeregelt werden.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist der Unterschied zwischen Regelenergie und Redispatch?;Regelenergie gleicht vor allem zeitliche Leistungsabweichungen und Frequenzprobleme aus. Redispatch verändert gezielt die räumliche Einspeisung, um Netzengpässe zu lösen.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist präventiver Redispatch?;Präventiver Redispatch wird durchgeführt, bevor ein erwarteter Engpass tatsächlich auftritt. Dadurch soll die Belastung rechtzeitig begrenzt werden.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist kurativer Redispatch?;Kurative Maßnahmen werden eingesetzt, wenn ein Engpass bereits eingetreten ist oder unmittelbar droht. Sie reagieren auf einen konkreten Betriebszustand.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was bedeutet Redispatch 2.0?;Redispatch 2.0 bezieht neben konventionellen Kraftwerken auch viele erneuerbare Erzeugungsanlagen, KWK-Anlagen und Speicher in das Engpassmanagement ein.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Warum kann trotz ausreichender Erzeugung ein Netzengpass entstehen?;Strom muss über konkrete Leitungen transportiert werden. Wenn eine Leitung ihre Belastungsgrenze erreicht, kann lokal ein Engpass entstehen, obwohl insgesamt genügend Strom vorhanden ist.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was bedeutet SCADA?;SCADA steht für Supervisory Control and Data Acquisition. Es bezeichnet Systeme zur Überwachung und teilweise Steuerung technischer Anlagen und Netze.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was bedeutet EMS?;EMS steht für Energy Management System. Es unterstützt die Überwachung, Analyse und Betriebsführung eines Energiesystems.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist State Estimation?;State Estimation ist die rechnerische Schätzung des aktuellen Netzzustands aus Messwerten, Netzmodell und Plausibilitätsprüfungen.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist eine Zeitreihe?;Eine Zeitreihe ist eine Folge von Mess- oder Beobachtungswerten, die Zeitpunkten oder Zeitintervallen zugeordnet sind.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist ein Prognosewert?;Ein Prognosewert ist eine Schätzung für einen zukünftigen oder noch nicht endgültig gemessenen Wert, zum Beispiel die erwartete Windstromerzeugung.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist ein Istwert?;Ein Istwert ist ein gemessener oder nachträglich festgestellter Wert, der die tatsächlich eingetretene Situation beschreibt.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist SMARD?;SMARD ist die Energiemarktdatenplattform der Bundesnetzagentur. Dort werden unter anderem Daten zu Stromerzeugung, Verbrauch, Handel und Preisen veröffentlicht.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist ENTSO-E?;ENTSO-E ist der Verband der europäischen Übertragungsnetzbetreiber. Er unterstützt unter anderem die Koordination und Veröffentlichung europäischer Stromnetzdaten.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was muss bei Energiedaten dokumentiert werden?;Quelle, Einheit, Zeitauflösung, Zeitzone, Datenstand und Berechnungsmethode müssen bekannt sein, damit Ergebnisse nachvollziehbar sind.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist ein typischer Fehler bei Stromdaten?;Ein häufiger Fehler ist, Leistung und Energie zu verwechseln oder Werte mit unterschiedlichen Zeitauflösungen direkt miteinander zu vergleichen.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Was ist der Unterschied zwischen Stromverbrauch und Netzlast bei SMARD?;SMARD verwendet Stromverbrauch für die aktuell aus dem Netz bezogene elektrische Energie beziehungsweise Netzlast. Eigenverbrauch aus einem Akku oder einer direkt selbst genutzten Solaranlage ist nicht vollständig dasselbe wie Netzbezug und muss bei Vergleichen beachtet werden.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Warum müssen Preis- und Verbrauchsdaten immer einen Datenstand haben?;Marktdaten können nachträglich aktualisiert, korrigiert oder methodisch verändert werden. Ohne Jahr, Zeitraum, Einheit und Definition ist ein Zahlenvergleich leicht missverständlich.;0
Energie;Systembetrieb, Regelenergie und Redispatch;Warum werden Netzausbaukosten und erneuerbare Einspeisung politisch gemeinsam diskutiert?;Neue Wind- und Solaranlagen entstehen nicht immer dort, wo der Verbrauch am höchsten ist. Für den Transport können Verstärkungen, neue Leitungen, Umspannwerke und zusätzliche Systemmaßnahmen nötig werden. Das ist eine Infrastrukturfrage und kein Beweis, dass erneuerbare Energie an sich keine Energie liefert.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Welche Energiequellen nutzten Menschen zunächst?;Frühe Gesellschaften nutzten vor allem Muskelkraft, Feuerholz, Sonnenwärme, Wind, Wasser und später tierische Arbeitskraft.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Warum war die Nutzung von Feuer eine Energierevolution?;Feuer ermöglichte Wärme, Licht, Kochen, Materialverarbeitung und später Metallurgie. Menschen konnten dadurch Energie außerhalb ihrer eigenen Muskelkraft nutzen.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Welche Rolle spielte die Dampfmaschine?;Die Dampfmaschine wandelte Wärmeenergie in mechanische Arbeit um. Sie unterstützte Bergbau, Produktion, Schifffahrt und Eisenbahn.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Warum war Faradays elektromagnetische Induktion wichtig?;Faradays Arbeiten zeigten, wie Bewegung und Magnetfelder elektrische Spannung erzeugen können. Dieses Prinzip ist eine Grundlage elektrischer Generatoren.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Warum war Wechselstromtechnik für Stromnetze wichtig?;Wechselstrom lässt sich mit Transformatoren auf höhere oder niedrigere Spannungen umwandeln. Das erleichterte die Übertragung und Verteilung elektrischer Energie.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Warum wurde Kohle im 19. Jahrhundert wichtig?;Kohle war energiereich, lagerfähig und für Dampfmaschinen, Eisenproduktion und industrielle Prozesse geeignet. Ihr Einsatz beschleunigte die Industrialisierung.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Warum wurde Erdöl für die Mobilität wichtig?;Erdöl kann zu flüssigen Kraftstoffen verarbeitet werden. Diese besitzen eine hohe Energiedichte und eignen sich für Verbrennungsmotoren.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Was waren die Ölkrisen der 1970er-Jahre?;Politische Konflikte und Förderbeschränkungen führten zu starken Veränderungen und Preissteigerungen auf den Ölmärkten. Die Krisen zeigten die Abhängigkeit von Ölimporten.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Wie funktioniert ein Verbrennungsmotor grundsätzlich?;Ein Verbrennungsmotor wandelt die chemische Energie eines Kraftstoffs durch Verbrennung zunächst in Wärme und Druck und anschließend in mechanische Arbeit um.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Wie funktioniert ein Elektroauto grundsätzlich?;Ein Elektroauto nutzt elektrische Energie aus einer Batterie. Ein Wechselrichter und ein Elektromotor wandeln sie in mechanische Bewegung um.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Warum sind Elektroautos lokal emissionsfrei?;Während der Fahrt stoßen sie am Fahrzeug selbst keine Abgase aus. Für die Gesamtbilanz müssen jedoch Stromerzeugung, Herstellung und Batterie berücksichtigt werden.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Was ist Rekuperation?;Rekuperation ist die Rückgewinnung von Bewegungsenergie beim Verzögern. Der Elektromotor arbeitet dabei als Generator und lädt die Batterie teilweise wieder auf.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Was ist der Unterschied zwischen Ladeleistung und Ladeenergie?;Ladeleistung wird in kW angegeben und beschreibt die Geschwindigkeit des Ladens. Ladeenergie wird in kWh angegeben und beschreibt die geladene Energiemenge.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Was bedeutet Energiewende?;Energiewende bezeichnet den langfristigen Umbau des Energiesystems, insbesondere den Ausbau erneuerbarer Energien, mehr Effizienz und weniger Treibhausgasemissionen.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Warum verändert die Energiewende den Netzbetrieb?;Erzeugung wird stärker wetterabhängig, dezentraler und räumlich anders verteilt. Dadurch steigen die Anforderungen an Netze, Prognosen, Speicher, Flexibilität und Systemführung.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Warum müssen Elektroautos im Stromsystem mitgedacht werden?;Viele Elektroautos können gleichzeitig eine erhebliche Ladeleistung aufnehmen. Gesteuertes Laden kann Lastspitzen vermeiden und die Nutzung erneuerbarer Energie unterstützen.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Wie viel Energie speichert eine typische Elektroauto-Batterie ungefähr?;Viele Elektroautos liegen grob im Bereich von 40 bis 100 kWh Batteriekapazität. Die genaue Größe hängt vom Fahrzeug ab. Kapazität ist eine Energiemenge in kWh, während die Ladeleistung in kW angegeben wird.;0
Energie;Energiegeschichte, Mobilität und Energiewende;Wie vergleicht man ein Elektroauto mit einem Verbrenner beim Energieverbrauch?;Ein Elektroauto nutzt elektrische Energie aus dem Akku und hat im Antrieb meist weniger Umwandlungsverluste. Ein Verbrenner nutzt chemische Energie aus Kraftstoff und verliert viel Wärme. Ein fairer Vergleich muss Strecke, Fahrzeuggröße, Ladeverluste und die Systemgrenze nennen.;0
